"UPC","UNITS","DOLLARS","iri_key","week","package","flavorscent","typeofgrain","pr","f","d","brand","vol_eq","price","price_pr","j"
"00-01-16000-11653",5,2.5,"652727",1485,"BOX","CINNAMON TOAST","WHOLE WHEAT AND RICE","0","NONE","0","GENERAL MILLS CINNAMON TST CR",0.0625,0.5,0,0
"00-01-16000-11945",2,1,"223450",1494,"BOX","TOASTED","WHOLE GRAIN OAT","0","NONE","0","GENERAL MILLS CHEERIOS",0.0391,0.5,0,0
"00-01-16000-11960",5,2.4,"205999",1501,"BOX","HONEY NUT","WHOLE GRAIN OAT","0","NONE","0","GENERAL MILLS HONEY NUT CHEER",0.0508,0.48,0,0
"00-01-16000-14155",1,1.19,"237824",1512,"CUP","HONEY NUT","WHOLE GRAIN OAT","0","NONE","0","GENERAL MILLS HONEY NUT CHEER",0.1125,1.19,0,0
"00-01-16000-14155",2,2.38,"251674",1518,"CUP","HONEY NUT","WHOLE GRAIN OAT","0","NONE","0","GENERAL MILLS HONEY NUT CHEER",0.1125,1.19,0,0
"00-01-16000-14155",25,34.75,"535279",1504,"CUP","HONEY NUT","WHOLE GRAIN OAT","0","NONE","0","GENERAL MILLS HONEY NUT CHEER",0.1125,1.39,0,0
"00-01-16000-14155",9,9.81,"648458",1501,"CUP","HONEY NUT","WHOLE GRAIN OAT","0","NONE","0","GENERAL MILLS HONEY NUT CHEER",0.1125,1.09,0,0
"00-01-16000-14156",13,13,"206607",1496,"CUP","TOASTED","WHOLE GRAIN OAT","1","C","2","GENERAL MILLS LUCKY CHARMS",0.1063,1,1,0
"00-01-16000-14156",40,40,"658239",1496,"CUP","TOASTED","WHOLE GRAIN OAT","1","C","0","GENERAL MILLS LUCKY CHARMS",0.1063,1,1,0
"00-01-16000-14159",4,4.76,"648174",1508,"CUP","TOASTED","WHOLE GRAIN OAT","0","NONE","0","GENERAL MILLS CHEERIOS",0.0813,1.19,0,0
"00-01-16000-14159",4,5.8,"286681",1524,"CUP","TOASTED","WHOLE GRAIN OAT","0","NONE","0","GENERAL MILLS CHEERIOS",0.0813,1.45,0,0
"00-01-16000-14159",3,3.27,"278571",1516,"CUP","TOASTED","WHOLE GRAIN OAT","0","NONE","0","GENERAL MILLS CHEERIOS",0.0813,1.09,0,0
"00-01-16000-14159",85,85,"236806",1485,"CUP","TOASTED","WHOLE GRAIN OAT","1","NONE","1","GENERAL MILLS CHEERIOS",0.0813,1,1,0
"00-01-16000-14404",2,4.3,"205066",1479,"BOX","CINNAMON","GRANOLA","1","NONE","0","NATURE VALLEY",0.875,2.15,2.15,0
"00-01-16000-14404",1,4.29,"282997",1481,"BOX","CINNAMON","GRANOLA","0","NONE","0","NATURE VALLEY",0.875,4.29,0,0
"00-01-16000-14404",2,8.38,"228137",1503,"BOX","CINNAMON","GRANOLA","1","NONE","0","NATURE VALLEY",0.875,4.19,4.19,0
"00-01-16000-14404",2,7.49,"249736",1481,"BOX","CINNAMON","GRANOLA","1","NONE","0","NATURE VALLEY",0.875,3.745,3.745,0
"00-01-16000-14404",1,4.39,"258988",1510,"BOX","CINNAMON","GRANOLA","0","NONE","0","NATURE VALLEY",0.875,4.39,0,0
"00-01-16000-14404",2,8.38,"291349",1497,"BOX","CINNAMON","GRANOLA","1","NONE","0","NATURE VALLEY",0.875,4.19,4.19,0
"00-01-16000-14404",3,6,"532874",1480,"BOX","CINNAMON","GRANOLA","1","NONE","0","NATURE VALLEY",0.875,2,2,0
"00-01-16000-14405",2,4.38,"658209",1513,"BOX","TOASTED HONEY","MULTI GRAIN","1","A","0","NATURE VALLEY",0.875,2.19,2.19,0
"00-01-16000-14405",1,4.79,"210815",1526,"BOX","TOASTED HONEY","MULTI GRAIN","0","NONE","0","NATURE VALLEY",0.875,4.79,0,0
"00-01-16000-14405",2,8.76,"681074",1487,"BOX","TOASTED HONEY","MULTI GRAIN","0","NONE","0","NATURE VALLEY",0.875,4.38,0,0
"00-01-16000-14405",5,14.59,"273979",1508,"BOX","TOASTED HONEY","MULTI GRAIN","1","NONE","0","NATURE VALLEY",0.875,2.918,2.918,0
"00-01-16000-14405",4,12,"240008",1493,"BOX","TOASTED HONEY","MULTI GRAIN","1","B","0","NATURE VALLEY",0.875,3,3,0
"00-01-16000-14405",4,15.96,"532840",1501,"BOX","TOASTED HONEY","MULTI GRAIN","0","NONE","0","NATURE VALLEY",0.875,3.99,0,0
"00-01-16000-14405",3,11.97,"229217",1502,"BOX","TOASTED HONEY","MULTI GRAIN","0","NONE","0","NATURE VALLEY",0.875,3.99,0,0
"00-01-16000-14405",6,28.74,"239919",1501,"BOX","TOASTED HONEY","MULTI GRAIN","0","NONE","0","NATURE VALLEY",0.875,4.79,0,0
"00-01-16000-14405",6,23.94,"239682",1519,"BOX","TOASTED HONEY","MULTI GRAIN","1","NONE","0","NATURE VALLEY",0.875,3.99,3.99,0
"00-01-16000-14405",2,7.98,"686034",1484,"BOX","TOASTED HONEY","MULTI GRAIN","0","NONE","0","NATURE VALLEY",0.875,3.99,0,0
"00-01-16000-14405",4,19.96,"1130219",1513,"BOX","TOASTED HONEY","MULTI GRAIN","0","NONE","0","NATURE VALLEY",0.875,4.99,0,0
"00-01-16000-14405",2,6.98,"203204",1505,"BOX","TOASTED HONEY","MULTI GRAIN","1","NONE","0","NATURE VALLEY",0.875,3.49,3.49,0
"00-01-16000-14405",46,100.5,"272154",1520,"BOX","TOASTED HONEY","MULTI GRAIN","1","A","0","NATURE VALLEY",0.875,2.18478260869565,2.18478260869565,0
"00-01-16000-16179",26,65,"1104418",1486,"BOX","COCOA","WHOLE GRAIN CORN","0","NONE","0","GENERAL MILLS COCOA PUFFS",0.8938,2.5,0,0
"00-01-16000-16179",24,72,"273920",1486,"BOX","COCOA","WHOLE GRAIN CORN","0","NONE","1","GENERAL MILLS COCOA PUFFS",0.8938,3,0,0
"00-01-16000-16179",2,7.98,"656426",1494,"BOX","COCOA","WHOLE GRAIN CORN","0","A","0","GENERAL MILLS COCOA PUFFS",0.8938,3.99,0,0
"00-01-16000-16179",2,6,"273920",1488,"BOX","COCOA","WHOLE GRAIN CORN","0","NONE","0","GENERAL MILLS COCOA PUFFS",0.8938,3,0,0
"00-01-16000-16181",2,8.58,"931768",1495,"BOX","CINNAMON TOAST","WHOLE WHEAT AND RICE","0","NONE","0","GENERAL MILLS CINNAMON TST CR",0.9813,4.29,0,0
"00-01-16000-16181",29,72.5,"272232",1490,"BOX","CINNAMON TOAST","WHOLE WHEAT AND RICE","1","B","1","GENERAL MILLS CINNAMON TST CR",0.9813,2.5,2.5,0
"00-01-16000-16181",24,74.7,"535328",1488,"BOX","CINNAMON TOAST","WHOLE WHEAT AND RICE","0","NONE","0","GENERAL MILLS CINNAMON TST CR",0.9813,3.1125,0,0
"00-01-16000-16181",17,54.23,"647824",1492,"BOX","CINNAMON TOAST","WHOLE WHEAT AND RICE","0","NONE","0","GENERAL MILLS CINNAMON TST CR",0.9813,3.19,0,0
"00-01-16000-16182",21,50.19,"533038",1485,"BOX","TOASTED","WHOLE GRAIN OAT","0","NONE","0","GENERAL MILLS LUCKY CHARMS",0.8688,2.39,0,0
"00-01-16000-16182",6,15,"287510",1500,"BOX","TOASTED","WHOLE GRAIN OAT","1","NONE","0","GENERAL MILLS LUCKY CHARMS",0.8688,2.5,2.5,0
"00-01-16000-16182",7,17.5,"214045",1484,"BOX","TOASTED","WHOLE GRAIN OAT","1","B","0","GENERAL MILLS LUCKY CHARMS",0.8688,2.5,2.5,0
"00-01-16000-16182",8,30.32,"659361",1486,"BOX","TOASTED","WHOLE GRAIN OAT","0","NONE","0","GENERAL MILLS LUCKY CHARMS",0.8688,3.79,0,0
"00-01-16000-16182",2,8.98,"237476",1498,"BOX","TOASTED","WHOLE GRAIN OAT","0","NONE","0","GENERAL MILLS LUCKY CHARMS",0.8688,4.49,0,0
"00-01-16000-16183",3,11.07,"271861",1494,"BOX","FRUIT","WHOLE GRAIN CORN","0","NONE","0","GENERAL MILLS TRIX",0.8063,3.69,0,0
"00-01-16000-16183",1,2.99,"1108195",1484,"BOX","FRUIT","WHOLE GRAIN CORN","0","NONE","0","GENERAL MILLS TRIX",0.8063,2.99,0,0
"00-01-16000-16183",19,57,"275946",1490,"BOX","FRUIT","WHOLE GRAIN CORN","1","NONE","0","GENERAL MILLS TRIX",0.8063,3,3,0
"00-01-16000-16183",1,3.99,"219796",1504,"BOX","FRUIT","WHOLE GRAIN CORN","0","NONE","0","GENERAL MILLS TRIX",0.8063,3.99,0,0
"00-01-16000-27472",4,15.96,"253713",1513,"BOX","REGULAR","WHOLE GRAIN OAT","0","NONE","0","GENERAL MLLS OAT CLSTR CHRS C",0.7063,3.99,0,0
"00-01-16000-27472",6,15,"672957",1488,"BOX","REGULAR","WHOLE GRAIN OAT","1","NONE","1","GENERAL MLLS OAT CLSTR CHRS C",0.7063,2.5,2.5,0
"00-01-16000-27472",6,23.94,"219777",1486,"BOX","REGULAR","WHOLE GRAIN OAT","0","NONE","0","GENERAL MLLS OAT CLSTR CHRS C",0.7063,3.99,0,0
"00-01-16000-27472",4,10,"1108195",1508,"BOX","REGULAR","WHOLE GRAIN OAT","1","NONE","0","GENERAL MLLS OAT CLSTR CHRS C",0.7063,2.5,2.5,0
"00-01-16000-27472",4,17.96,"289660",1488,"BOX","REGULAR","WHOLE GRAIN OAT","0","A","0","GENERAL MLLS OAT CLSTR CHRS C",0.7063,4.49,0,0
"00-01-16000-27472",1,3.92,"214869",1501,"BOX","REGULAR","WHOLE GRAIN OAT","0","NONE","0","GENERAL MLLS OAT CLSTR CHRS C",0.7063,3.92,0,0
"00-01-16000-27472",5,17.75,"274092",1514,"BOX","REGULAR","WHOLE GRAIN OAT","0","NONE","0","GENERAL MLLS OAT CLSTR CHRS C",0.7063,3.55,0,0
"00-01-16000-27472",26,82.94,"264203",1527,"BOX","REGULAR","WHOLE GRAIN OAT","0","NONE","0","GENERAL MLLS OAT CLSTR CHRS C",0.7063,3.19,0,0
"00-01-16000-27472",7,26.81,"648567",1519,"BOX","REGULAR","WHOLE GRAIN OAT","0","NONE","0","GENERAL MLLS OAT CLSTR CHRS C",0.7063,3.83,0,0
"00-01-16000-27472",5,18.45,"234341",1485,"BOX","REGULAR","WHOLE GRAIN OAT","0","NONE","0","GENERAL MLLS OAT CLSTR CHRS C",0.7063,3.69,0,0
"00-01-16000-27472",1,4.99,"1086137",1484,"BOX","REGULAR","WHOLE GRAIN OAT","0","B","0","GENERAL MLLS OAT CLSTR CHRS C",0.7063,4.99,0,0
"00-01-16000-27472",3,14.97,"200341",1496,"BOX","REGULAR","WHOLE GRAIN OAT","0","NONE","0","GENERAL MLLS OAT CLSTR CHRS C",0.7063,4.99,0,0
"00-01-16000-27472",2,8.76,"272725",1510,"BOX","REGULAR","WHOLE GRAIN OAT","0","A","0","GENERAL MLLS OAT CLSTR CHRS C",0.7063,4.38,0,0
"00-01-16000-27472",4,14.48,"223294",1490,"BOX","REGULAR","WHOLE GRAIN OAT","0","NONE","0","GENERAL MLLS OAT CLSTR CHRS C",0.7063,3.62,0,0
"00-01-16000-27472",21,42,"262702",1493,"BOX","REGULAR","WHOLE GRAIN OAT","1","NONE","2","GENERAL MLLS OAT CLSTR CHRS C",0.7063,2,2,0
"00-01-16000-27472",5,19.95,"653366",1506,"BOX","REGULAR","WHOLE GRAIN OAT","0","NONE","0","GENERAL MLLS OAT CLSTR CHRS C",0.7063,3.99,0,0
"00-01-16000-27472",2,5.38,"282997",1517,"BOX","REGULAR","WHOLE GRAIN OAT","1","NONE","0","GENERAL MLLS OAT CLSTR CHRS C",0.7063,2.69,2.69,0
"00-01-16000-27472",4,14.76,"648459",1506,"BOX","REGULAR","WHOLE GRAIN OAT","0","NONE","0","GENERAL MLLS OAT CLSTR CHRS C",0.7063,3.69,0,0
"00-01-16000-27472",3,11.97,"269242",1520,"BOX","REGULAR","WHOLE GRAIN OAT","1","NONE","0","GENERAL MLLS OAT CLSTR CHRS C",0.7063,3.99,3.99,0
"00-01-16000-27472",16,52.64,"220539",1505,"BOX","REGULAR","WHOLE GRAIN OAT","0","NONE","0","GENERAL MLLS OAT CLSTR CHRS C",0.7063,3.29,0,0
"00-01-16000-27472",4,15.96,"234702",1494,"BOX","REGULAR","WHOLE GRAIN OAT","0","A","0","GENERAL MLLS OAT CLSTR CHRS C",0.7063,3.99,0,0
"00-01-16000-27473",16,44.64,"286394",1481,"BOX","CHOCOLATE","RICE","1","NONE","0","GENERAL MILLS CHOCOLATE CHEX",0.8906,2.79,2.79,0
"00-01-16000-27473",3,9.87,"535139",1487,"BOX","CHOCOLATE","RICE","0","NONE","0","GENERAL MILLS CHOCOLATE CHEX",0.8906,3.29,0,0
"00-01-16000-27473",1,2.99,"203001",1504,"BOX","CHOCOLATE","RICE","1","NONE","0","GENERAL MILLS CHOCOLATE CHEX",0.8906,2.99,2.99,0
"00-01-16000-27473",2,7.28,"276604",1526,"BOX","CHOCOLATE","RICE","1","NONE","0","GENERAL MILLS CHOCOLATE CHEX",0.8906,3.64,3.64,0
"00-01-16000-27473",2,7.98,"291169",1527,"BOX","CHOCOLATE","RICE","0","NONE","0","GENERAL MILLS CHOCOLATE CHEX",0.8906,3.99,0,0
"00-01-16000-27473",16,32,"654213",1504,"BOX","CHOCOLATE","RICE","1","B","0","GENERAL MILLS CHOCOLATE CHEX",0.8906,2,2,0
"00-01-16000-27473",7,21,"223970",1522,"BOX","CHOCOLATE","RICE","1","B","0","GENERAL MILLS CHOCOLATE CHEX",0.8906,3,3,0
"00-01-16000-27473",14,28,"536529",1482,"BOX","CHOCOLATE","RICE","1","A","0","GENERAL MILLS CHOCOLATE CHEX",0.8906,2,2,0
"00-01-16000-27473",3,9.57,"203648",1517,"BOX","CHOCOLATE","RICE","0","NONE","0","GENERAL MILLS CHOCOLATE CHEX",0.8906,3.19,0,0
"00-01-16000-27473",7,26.53,"251132",1485,"BOX","CHOCOLATE","RICE","0","NONE","0","GENERAL MILLS CHOCOLATE CHEX",0.8906,3.79,0,0
"00-01-16000-27473",2,6.38,"281733",1496,"BOX","CHOCOLATE","RICE","0","NONE","0","GENERAL MILLS CHOCOLATE CHEX",0.8906,3.19,0,0
"00-01-16000-27473",2,6.38,"281733",1500,"BOX","CHOCOLATE","RICE","0","NONE","0","GENERAL MILLS CHOCOLATE CHEX",0.8906,3.19,0,0
"00-01-16000-27473",5,14.95,"1181781",1481,"BOX","CHOCOLATE","RICE","0","NONE","0","GENERAL MILLS CHOCOLATE CHEX",0.8906,2.99,0,0
"00-01-16000-27473",5,10,"652877",1482,"BOX","CHOCOLATE","RICE","1","A","0","GENERAL MILLS CHOCOLATE CHEX",0.8906,2,2,0
"00-01-16000-27473",7,20.93,"253713",1500,"BOX","CHOCOLATE","RICE","0","NONE","0","GENERAL MILLS CHOCOLATE CHEX",0.8906,2.99,0,0
"00-01-16000-27473",2,6.38,"283097",1515,"BOX","CHOCOLATE","RICE","0","NONE","0","GENERAL MILLS CHOCOLATE CHEX",0.8906,3.19,0,0
"00-01-16000-27473",1,3.59,"286605",1510,"BOX","CHOCOLATE","RICE","0","NONE","0","GENERAL MILLS CHOCOLATE CHEX",0.8906,3.59,0,0
"00-01-16000-27473",3,11.37,"267729",1530,"BOX","CHOCOLATE","RICE","0","NONE","0","GENERAL MILLS CHOCOLATE CHEX",0.8906,3.79,0,0
"00-01-16000-27473",8,22.32,"264275",1481,"BOX","CHOCOLATE","RICE","1","NONE","0","GENERAL MILLS CHOCOLATE CHEX",0.8906,2.79,2.79,0
"00-01-16000-27473",7,25.13,"200391",1492,"BOX","CHOCOLATE","RICE","0","NONE","0","GENERAL MILLS CHOCOLATE CHEX",0.8906,3.59,0,0
"00-01-16000-27473",5,18.95,"681074",1488,"BOX","CHOCOLATE","RICE","0","NONE","0","GENERAL MILLS CHOCOLATE CHEX",0.8906,3.79,0,0
"00-01-16000-27473",3,8.97,"533862",1501,"BOX","CHOCOLATE","RICE","0","NONE","0","GENERAL MILLS CHOCOLATE CHEX",0.8906,2.99,0,0
"00-01-16000-27473",1,3.99,"289821",1520,"BOX","CHOCOLATE","RICE","0","NONE","0","GENERAL MILLS CHOCOLATE CHEX",0.8906,3.99,0,0
"00-01-16000-27473",4,15.92,"681074",1502,"BOX","CHOCOLATE","RICE","0","NONE","0","GENERAL MILLS CHOCOLATE CHEX",0.8906,3.98,0,0
"00-01-16000-27473",4,13.56,"933864",1491,"BOX","CHOCOLATE","RICE","0","NONE","0","GENERAL MILLS CHOCOLATE CHEX",0.8906,3.39,0,0
"00-01-16000-27503",1,4.49,"290942",1511,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","0","A","0","GENERAL MILLS REESES PUFFS",0.8125,4.49,0,0
"00-01-16000-27503",73,283.97,"688984",1498,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","0","A+","2","GENERAL MILLS REESES PUFFS",0.8125,3.89,0,0
"00-01-16000-27503",16,69.35,"1104265",1489,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","0","A","0","GENERAL MILLS REESES PUFFS",0.8125,4.334375,0,0
"00-01-16000-27503",2,9.38,"240255",1522,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","0","NONE","0","GENERAL MILLS REESES PUFFS",0.8125,4.69,0,0
"00-01-16000-27503",54,160.87,"274569",1527,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","1","A+","2","GENERAL MILLS REESES PUFFS",0.8125,2.97907407407407,2.97907407407407,0
"00-01-16000-27503",22,36.74,"688612",1511,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","1","A","0","GENERAL MILLS REESES PUFFS",0.8125,1.67,1.67,0
"00-01-16000-27503",5,24.95,"219851",1510,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","0","NONE","0","GENERAL MILLS REESES PUFFS",0.8125,4.99,0,0
